PLAYER_NAME,GAME_ID,TEAM_NAME_FROM_DATA,TEAM_POINTS,TOTAl_PLAYER_POINTS,WINNING_TEAM,WINNING_POINTS,LOSING_TEAM,LOSING_POINTS,PLAYER_CONTRIBUTION,AVG_PLAYER_CONTRIBUTION
Mike Penberthy,20000198,Lakers,97,7,Lakers,97,Clippers,83,0.07216494845360824,0.05632224881258311
Mike Penberthy,20000767,Lakers,119,11,Lakers,119,Mavericks,107,0.09243697478991597,0.05632224881258311
Mike Penberthy,20000258,Lakers,96,2,Lakers,96,76ers,83,0.020833333333333332,0.05632224881258311
Mike Penberthy,20001121,Lakers,104,3,Lakers,104,Suns,80,0.028846153846153848,0.05632224881258311
Mike Penberthy,20000807,Lakers,104,2,Lakers,104,Magic,100,0.019230769230769232,0.05632224881258311
Mike Penberthy,20000347,Lakers,102,3,Lakers,102,Raptors,101,0.029411764705882353,0.05632224881258311
Mike Penberthy,20000456,Lakers,82,3,Lakers,82,Jazz,69,0.036585365853658534,0.05632224881258311
Mike Penberthy,20001177,Lakers,108,5,Lakers,108,Nuggets,89,0.046296296296296294,0.05632224881258311
George Lynch,20000905,76ers,97,18,76ers,97,Celtics,89,0.18556701030927836,0.09422862780399255
George Lynch,20000514,76ers,84,7,76ers,84,Wizards,82,0.08333333333333333,0.09422862780399255
George Lynch,20000930,76ers,85,9,76ers,85,Bulls,66,0.10588235294117647,0.09422862780399255
George Lynch,20000238,76ers,110,9,76ers,110,Cavaliers,78,0.08181818181818182,0.09422862780399255
George Lynch,20001174,76ers,110,10,76ers,110,Pacers,105,0.09090909090909091,0.09422862780399255
George Lynch,20000411,76ers,116,12,76ers,116,Warriors,110,0.10344827586206896,0.09422862780399255
George Lynch,20000890,76ers,108,8,76ers,108,Hawks,101,0.07407407407407407,0.09422862780399255
George Lynch,20001155,76ers,88,7,76ers,88,Knicks,82,0.07954545454545454,0.09422862780399255
George Lynch,20000876,76ers,100,9,76ers,100,Nets,94,0.09,0.09422862780399255
George Lynch,20001054,76ers,103,4,76ers,103,Pacers,93,0.038834951456310676,0.09422862780399255
George Lynch,20001112,76ers,106,10,76ers,106,Celtics,95,0.09433962264150944,0.09422862780399255
George Lynch,20000148,76ers,114,12,76ers,114,Celtics,88,0.10526315789473684,0.09422862780399255
George Lynch,20000822,76ers,77,4,76ers,77,Heat,69,0.05194805194805195,0.09422862780399255
George Lynch,20000604,76ers,85,9,76ers,85,Rockets,82,0.10588235294117647,0.09422862780399255
George Lynch,20000492,76ers,104,10,76ers,104,Nets,85,0.09615384615384616,0.09422862780399255
George Lynch,20001039,76ers,102,6,76ers,102,Warriors,87,0.058823529411764705,0.09422862780399255
George Lynch,20000787,76ers,97,10,76ers,97,Pistons,78,0.10309278350515463,0.09422862780399255
George Lynch,20000466,76ers,121,7,76ers,121,SuperSonics,87,0.05785123966942149,0.09422862780399255
George Lynch,20000030,76ers,85,8,76ers,85,Magic,80,0.09411764705882353,0.09422862780399255
George Lynch,20001011,76ers,90,8,76ers,90,Bucks,76,0.08888888888888889,0.09422862780399255
George Lynch,20000536,76ers,84,17,76ers,84,Hornets,77,0.20238095238095238,0.09422862780399255
George Lynch,20000113,76ers,106,23,76ers,106,Cavaliers,98,0.2169811320754717,0.09422862780399255
George Lynch,20000127,76ers,94,7,76ers,94,Heat,72,0.07446808510638298,0.09422862780399255
George Lynch,20000313,76ers,102,4,76ers,102,Wizards,80,0.0392156862745098,0.09422862780399255
George Lynch,20000772,76ers,105,14,76ers,105,Grizzlies,91,0.13333333333333333,0.09422862780399255
George Lynch,20000737,76ers,106,4,76ers,106,Clippers,93,0.03773584905660377,0.09422862780399255
George Lynch,20000723,76ers,110,11,76ers,110,Lakers,97,0.1,0.09422862780399255
George Lynch,20000715,76ers,107,12,76ers,107,Bucks,101,0.11214953271028037,0.09422862780399255
George Lynch,20000406,76ers,95,9,76ers,95,Jazz,91,0.09473684210526316,0.09422862780399255
George Lynch,20000630,76ers,84,6,76ers,84,Pacers,81,0.07142857142857142,0.09422862780399255
George Lynch,20001089,76ers,96,10,76ers,96,Cavaliers,86,0.10416666666666667,0.09422862780399255
George Lynch,20000838,76ers,105,8,76ers,105,Wizards,102,0.0761904761904762,0.09422862780399255
George Lynch,20000654,76ers,85,4,76ers,85,Knicks,80,0.047058823529411764,0.09422862780399255
